title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,movie_id
Zulu (1964),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5801
Analyze That (2002),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5802
Empire (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5803
Adaptation (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5804
Equilibrium (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5805
My Kingdom (2001),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5806
Soap Girl (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5807
It All Starts Today (Ça commence aujourd'hui) (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5808
Medea (1970),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5809
Scarlet Diva (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5810
Visitor Q (Bizita Q) (2001),0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5811
"Bolero (Uns et les autres, Les) (1981)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5812
Urgh! A Music War (1981),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5813
Hit the Bank (Vabank) (1981),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5814
Warning for the Joensson Gang (Varning för Jönssonligan) (1981),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5815
"Vernon, Florida (1981)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5816
Victory (a.k.a. Escape to Victory) (1981),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5817
Whose Life Is It Anyway? (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5818
Zoot Suit (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5819
Alone in the Dark (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5820
Android (1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5821
"Ace of Aces (a.k.a. Super Ace, The) (As des as, L') (1982)",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5822
Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui) (1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5823
Attila (Attila Flagello di Dio) (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5824
Author! Author! (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5825
Barbarosa (1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5826
"Beast Within, The (1982)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5827
Best Friends (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5828
"Best Little Whorehouse in Texas, The (1982)",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5829
"Border, The (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5830
"Party 2, The (Boum 2, La) (1982)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5831
Brimstone and Treacle (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5832
Britannia Hospital (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5833
Burden of Dreams (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5834
Cannery Row (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5835
"Challenge, The (1982)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5836
Class of 1984 (1982),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5837
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5838
Danton (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5839
Deathtrap (1982),0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5840
"Man Who Saves the World, The (Dünyayi Kurtaran Adam) (1982)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5841
Eating Raoul (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5842
Drumline (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5843
"Hot Chick, The (2002)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5844
Maid in Manhattan (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5845
Star Trek: Nemesis (2002),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5846
About Schmidt (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5847
"Pellet (Bola, El) (2000)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5848
Evelyn (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5849
"Guys, The (2002)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5850
Intact (Intacto) (2001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5851
"Jimmy Show, The (2002)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5852
Morvern Callar (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5853
"Lord of the Rings: The Two Towers, The (2002)",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5854
Devils on the Doorstep (Guizi lai le) (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5855
25th Hour (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5856
Antwone Fisher (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5857
Gangs of New York (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5858
Two Weeks Notice (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5859
"Wild Thornberrys Movie, The (2002)",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860
Narc (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5861
Bad Influence (1990),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5862
Blue Steel (1990),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5863
Body of Evidence (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5864
"Children's Hour, The (1961)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5865
Company Business (1991),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5866
"Duellists, The (1977)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5867
"Kiss Before Dying, A (1956)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5868
Legend of the Lost (1957),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5869
Miami Blues (1990),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5870
My Girl 2 (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5871
My Girl (1991),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5872
My Neighbor Totoro (Tonari no Totoro) (1988),0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5873
"Road to Hong Kong, The (1962)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874
Running Time (1997),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5875
"Thief of Bagdad, The (1940)",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5876
War and Peace (1956),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5877
Where Sleeping Dogs Lie (1992),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5878
Where's Poppa? (1970),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879
"Whistle Blower, The (1986)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5880
Attack of the Crab Monsters (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5881
Black Christmas (1974),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5882
"Day of the Triffids, The (1962)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5883
Esther Kahn (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5884
Invaders from Mars (1953),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5885
"Story of O, The (Histoire d'O) (1975)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5886
Asoka (Ashoka the Great) (2001),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5887
Fat City (1972),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5888
"Love, Honour and Obey (2000)",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5889
Quicksilver (1986),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5890
Catch Me If You Can (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5891
Pinocchio (2002),0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5892
Chicago (2002),0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5893
"Hours, The (2002)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5894
Max (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5895
Nicholas Nickleby (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5896
"Pianist, The (2002)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5897
Sonny (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5898
Champagne for Caesar (1950),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899
Doppelganger (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5900
Heavy Metal 2000 (2000),0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5901
"House on the Edge of the Park, The (Casa sperduta nel parco, La) (1980)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5902
"King of Comedy, The (1983)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5903
Love Liza (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5904
Confessions of a Dangerous Mind (2002),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5905
Abraham's Valley (Vale Abraão) (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5906
Blue Collar Comedy Tour: The Movie (2003),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5907
Just Married (2003),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5908
P.S. Your Cat is Dead (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5909
"Son, The (Le fils) (2002)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5910
"City of Lost Souls, The (Hyôryuu-gai) (2000)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5911
Double Whammy (2001),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5912
Wisegirls (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5913
"Guy Thing, A (2003)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5914
Kangaroo Jack (2003),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915
National Security (2003),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5916
Big Shot's Funeral (Da Wan) (2001),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5917
City of God (Cidade de Deus) (2002),0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5918
Divine Intervention (Yadon ilaheyya) (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5919
Kira's Reason: A Love Story (En Kærlighedshistorie) (2001),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5920
Above Suspicion (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5921
Alice Adams (1935),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5922
"American Friend, The (Amerikanische Freund, Der) (1977)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5923
American Me (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5924
Band of Outsiders (Bande à part) (1964),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5925
Breaking Up (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5926
CB4 - The Movie (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5927
"Deathmaker, The (Totmacher, Der) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5928
Dogfight (1991),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5929
"Easy Come, Easy Go (1967)",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5930
Fun in Acapulco (1963),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5931
Girls! Girls! Girls! (1962),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5932
Imitation of Life (1959),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5933
"Little Romance, A (1979)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5934
Mystery Date (1991),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5935
"Paradise, Hawaiian Style (1966)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5936
Pépé le Moko (1937),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5937
Secret Admirer (1985),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5938
Summer Lovers (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5939
Tune in Tomorrow... (1990),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5940
"Woman in Red, The (1984)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5941
Darkness Falls (2003),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5942
Amen. (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5943
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5944
In the Mirror of Maya Deren (Im Spiegel der Maya Deren) (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5945
Blind Date (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5946
Bullet (1996),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5947
Claudine (1974),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5948
Dead Reckoning (1947),0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5949
"Devil at 4 O'Clock, The (1961)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5950
Ethan Frome (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5951
Gus (1976),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5952
"Harder They Come, The (1973)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5953
"Horse in the Gray Flannel Suit, The (1968)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5954
Krush Groove (1985),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5955
"Moon-Spinners, The (1964)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5956
Sugar Hill (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5957
Chaos (2001),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5958
Biker Boyz (2003),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5959
Final Destination 2 (2003),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5960
"Recruit, The (2003)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5961
"Guru, The (2002)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5962
Kedma (2002),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5963
Lost in La Mancha (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5964
May (2002),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5965
"Harder They Fall, The (1956)",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5966
I'm All Right Jack (1959),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5967
Murder by Decree (1979),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5968
Ordinary Decent Criminal (2000),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5969
Pursued (1947),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5970
"Big Time Operators (Smallest Show on Earth, The) (1957)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5971
Tokyo Decadence (Topâzu) (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5972
Two-Way Stretch (1960),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5973
"Unfaithful Wife, The (Femme infidèle, La) (1969)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5974
Victim (1961),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5975
Endangered Species (1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5976
"Simple-Minded Murder, The (Enfaldige mördaren, Den) (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5977
Enigma (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5978
Evil Under the Sun (1982),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5979
Firefox (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5980
Five Days One Summer (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5981
Forced Vengeance (1982),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5982
"Never Play Clever Again (Gendarme et les gendarmettes, Le) (1982)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5983
"Grey Fox, The (1982)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5984
Hammett (1982),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5985
Honkytonk Man (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5986
Neil Young: Human Highway (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5987
"I, the Jury (1982)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5988
If You Could See What I Hear (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5989
Jekyll & Hyde... Together Again (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5990
"J. Gang Meets Dynamite Harry, The (Jönssonligan & DynamitHarry) (1982)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5991
Kiss Me Goodbye (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5992
Labyrinth of Passion (Laberinto de Pasiones) (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5993
"Last American Virgin, The (1982)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5994
"Last Unicorn, The (1982)",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5995
Liquid Sky (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5996
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5997
Making Love (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5998
Manhattan Baby (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5999
"Marathon Family, The (Maratonci Trce Pocasni Krug) (1982)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
Megaforce (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6001
"Midsummer Night's Sex Comedy, A (1982)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6002
Missing (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6003
"Missionary, The (1982)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004
Monsignor (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6005
Monty Python Live at the Hollywood Bowl (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6006
Moonlighting (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6007
Mother Lode (1982),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6008
"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6009
"That Night in Varennes (Nuit de Varennes, La) (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6010
One from the Heart (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6011
Pandemonium (1982),0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6012
Paradise (1982),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6013
Partners (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6014
Godard's Passion (Passion) (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6015
Permanent Vacation (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6016
Personal Best (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6017
"Pirate Movie, The (1982)",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6018
Privates on Parade (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6019
Blind Chance (Przypadek) (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6020
Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6021
Q: The Winged Serpent (1982),0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,6022
Querelle (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6023
Richard Pryor Live on the Sunset Strip (1982),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6024
Sunless (Sans Soleil) (1983),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6025
Savannah Smiles (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6026
"Secret Policeman's Other Ball, The (1982)",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6027
"Veronika Voss (Sehnsucht der Veronika Voss, Die) (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6028
Shoot the Moon (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6029
Six Pack (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6030
Six Weeks (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6031
"Soldier, The (1982)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6032
Some Kind of Hero (1982),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6033
"New York Ripper, The (Squartatore di New York, Lo) (1982)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,6034
"State of Things, The (Stand der Dinge, Der) (1982)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6035
Starstruck (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6036
Still of the Night (1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6037
"South, The (Sur, El) (1983)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6038
Sword of the Valiant (1984),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6039
Tag: The Assassination Game (a.k.a. Everybody Gets It in the End) (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6040
